Any,Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més
2019,250411,Barbens,52,312,103,52,243,116,104,555,219
2019,430213,Barberà de la Conca,37,165,55,37,115,64,74,280,119
2019,082520,Barberà del Vallès,2.846,11.013,2.441,2.768,10.925,3.098,5.614,21.938,5.539
2019,080193,Barcelona,105.153,530.511,139.955,99.601,551.432,210.110,204.754,1.081.943,350.065
2019,250426,"Baronia de Rialb, la",6,73,42,10,67,39,16,140,81
2019,170160,Bàscara,88,342,90,70,285,129,158,627,219
2019,250447,Bassella,11,68,33,10,72,30,21,140,63
2019,430228,Batea,132,547,265,121,520,305,253,1.067,570
2019,250450,Bausen,0,17,13,2,15,11,2,32,24
2019,080207,Begues,667,2.401,460,651,2.443,476,1.318,4.844,936
2019,170139,Begur,232,1.342,390,245,1.268,448,477,2.610,838
2019,250463,Belianes,29,157,83,24,150,82,53,307,165
2019,251706,Bellaguarda,15,96,41,7,77,51,22,173,92
2019,170182,Bellcaire d'Empordà,52,215,69,56,213,88,108,428,157
2019,250479,Bellcaire d'Urgell,79,403,145,77,342,184,156,745,329
2019,250485,Bell-lloc d'Urgell,157,770,212,178,719,279,335,1.489,491
2019,250498,Bellmunt d'Urgell,8,61,20,12,55,29,20,116,49
2019,430234,Bellmunt del Priorat,21,88,36,8,82,45,29,170,81
2019,080214,Bellprat,0,24,17,1,13,9,1,37,26
2019,250501,Bellpuig,377,1.921,407,415,1.498,515,792,3.419,922
2019,430249,Bellvei,205,741,186,191,683,197,396,1.424,383
2019,250518,Bellver de Cerdanya,142,663,204,131,569,228,273,1.232,432
2019,250523,Bellvís,171,735,243,136,639,331,307,1.374,574
2019,250539,Benavent de Segrià,117,561,103,117,473,128,234,1.034,231
2019,430252,Benifallet,24,220,104,33,225,133,57,445,237
2019,430265,Benissanet,68,444,134,69,302,144,137,746,278
2019,080229,Berga,1.226,5.356,1.584,1.077,5.121,2.130,2.303,10.477,3.714
2019,170195,Besalú,200,722,248,205,792,325,405,1.514,573
2019,170209,Bescanó,502,1.649,354,461,1.576,418,963,3.225,772
2019,170216,Beuda,17,70,13,20,58,12,37,128,25
2019,080235,Bigues i Riells,801,3.191,653,767,2.977,703,1.568,6.168,1.356
2019,250557,Biosca,3,62,29,6,44,32,9,106,61
2019,170221,"Bisbal d'Empordà, la",1.022,3.649,775,979,3.528,1.021,2.001,7.177,1.796
2019,430271,"Bisbal de Falset, la",18,68,30,10,55,35,28,123,65
