Any,Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més
2019,081629,"Hostalets de Pierola, els",264,1.064,190,264,966,225,528,2.030,415
2019,170834,Hostalric,373,1.434,323,339,1.347,405,712,2.781,728
2019,081022,Igualada,3.413,12.838,3.385,3.192,12.555,4.584,6.605,25.393,7.969
2019,251155,Isona i Conca Dellà,59,330,159,53,262,156,112,592,315
2019,170849,Isòvol,25,104,32,16,76,28,41,180,60
2019,251137,Ivars d'Urgell,95,510,196,103,379,248,198,889,444
2019,251121,Ivars de Noguera,16,121,34,20,95,48,36,216,82
2019,251142,Ivorra,2,40,15,2,23,22,4,63,37
2019,170852,Jafre,31,127,48,17,102,55,48,229,103
2019,170865,"Jonquera, la",315,1.111,211,270,1.112,271,585,2.223,482
2019,081038,Jorba,73,303,48,66,282,63,139,585,111
2019,259101,Josa i Tuixén,3,37,18,4,28,16,7,65,34
2019,170871,Juià,30,115,29,23,95,31,53,210,60
2019,251180,Juncosa,9,139,56,24,98,60,33,237,116
2019,251193,Juneda,282,1.232,340,237,988,396,519,2.220,736
2019,251214,Les,65,347,51,85,325,73,150,672,124
2019,251229,Linyola,191,909,265,206,826,303,397,1.735,568
2019,081043,"Llacuna, la",54,321,100,44,227,124,98,548,224
2019,170887,Lladó,79,255,64,91,264,65,170,519,129
2019,251235,Lladorre,14,74,28,14,69,31,28,143,59
2019,251240,Lladurs,6,55,30,10,50,25,16,105,55
2019,081056,"Llagosta, la",1.096,4.471,1.108,1.104,4.268,1.433,2.200,8.739,2.541
2019,170890,Llagostera,754,2.921,628,705,2.631,814,1.459,5.552,1.442
2019,170904,Llambilles,62,241,56,51,222,64,113,463,120
2019,170911,Llanars,28,165,66,36,143,67,64,308,133
2019,170926,Llançà,331,1.575,488,319,1.503,620,650,3.078,1.108
2019,251253,Llardecans,22,146,68,16,114,85,38,260,153
2019,251266,Llavorsí,22,123,35,21,117,34,43,240,69
2019,251207,Lleida,11.024,47.349,10.284,10.465,45.363,14.471,21.489,92.712,24.755
2019,170932,Llers,85,410,122,86,400,136,171,810,258
2019,251272,Lles de Cerdanya,16,93,39,14,63,28,30,156,67
2019,081075,Lliçà d'Amunt,1.282,5.307,1.230,1.149,4.991,1.297,2.431,10.298,2.527
2019,081081,Lliçà de Vall,534,2.203,598,471,2.112,624,1.005,4.315,1.222
2019,251288,Llimiana,8,52,28,3,35,19,11,87,47
2019,081069,Llinars del Vallès,816,3.343,787,683,3.325,984,1.499,6.668,1.771
2019,170947,Llívia,90,535,123,93,446,130,183,981,253
2019,430727,"Lloar, el",6,33,19,9,29,11,15,62,30
2019,251291,Llobera,17,61,26,7,47,30,24,108,56
2019,430733,Llorac,3,34,15,4,33,11,7,67,26
2019,430748,Llorenç del Penedès,212,762,198,185,761,275,397,1.523,473
2019,170950,Lloret de Mar,3.066,13.982,2.480,2.901,12.900,3.044,5.967,26.882,5.524
2019,170963,"Llosses, les",19,83,19,19,61,17,38,144,36
2019,081094,Lluçà,21,93,20,30,88,21,51,181,41
2019,171024,Maçanet de Cabrenys,32,220,88,38,198,112,70,418,200
2019,171030,Maçanet de la Selva,518,2.462,618,555,2.188,665,1.073,4.650,1.283
2019,170979,Madremanya,30,82,26,23,91,31,53,173,57
2019,170985,Maià de Montcal,30,171,50,32,119,47,62,290,97
2019,251333,Maials,46,336,135,45,225,133,91,561,268
2019,251305,Maldà,16,65,28,7,68,36,23,133,64
2019,081108,Malgrat de Mar,1.369,6.266,1.645,1.297,5.836,2.166,2.666,12.102,3.811
2019,081115,Malla,26,89,24,17,86,31,43,175,55
2019,081120,Manlleu,1.790,6.987,1.537,1.731,6.450,2.078,3.521,13.437,3.615
2019,081136,Manresa,6.432,25.227,6.407,5.970,24.667,9.011,12.402,49.894,15.418
2019,430764,Marçà,40,208,66,36,179,65,76,387,131
2019,430751,Margalef,4,37,18,2,20,16,6,57,34
2019,082423,Marganell,17,85,29,6,90,39,23,175,68
2019,081141,Martorell,2.546,9.774,2.009,2.376,8.844,2.640,4.922,18.618,4.649
2019,081154,Martorelles,361,1.632,429,321,1.530,528,682,3.162,957
2019,430770,Mas de Barberans,23,182,83,27,161,102,50,343,185
2019,171002,Masarac,15,107,28,17,90,31,32,197,59
2019,430786,Masdenverge,70,345,131,65,327,132,135,672,263
2019,081167,"Masies de Roda, les",52,224,79,49,220,76,101,444,155
2019,081173,"Masies de Voltregà, les",232,1.059,260,216,1.054,320,448,2.113,580
2019,430799,Masllorenç,44,192,47,32,138,51,76,330,98
2019,081189,"Masnou, el",1.787,7.688,1.882,1.659,7.822,2.677,3.446,15.510,4.559
2019,430803,"Masó, la",22,84,40,16,75,39,38,159,79
2019,430810,Maspujols,86,281,59,67,272,62,153,553,121
2019,081192,Masquefa,825,3.216,600,825,3.057,688,1.650,6.273,1.288
2019,430825,"Masroig, el",30,166,74,27,128,72,57,294,146
2019,251312,Massalcoreig,23,256,59,25,158,77,48,414,136
2019,171019,Massanes,77,242,86,67,220,69,144,462,155
2019,251327,Massoteres,19,80,20,21,59,19,40,139,39
2019,081206,Matadepera,885,3.020,752,824,3.023,822,1.709,6.043,1.574
2019,081213,Mataró,10.811,43.291,9.535,10.177,41.606,12.845,20.988,84.897,22.380
2019,081228,Mediona,207,729,223,194,700,269,401,1.429,492
2019,251348,Menàrguens,33,307,100,38,218,110,71,525,210
2019,170998,Meranges,11,34,13,7,30,9,18,64,22
2019,171058,Mieres,16,106,38,24,89,45,40,195,83
2019,430831,"Milà, el",11,55,19,17,51,25,28,106,44
2019,251351,Miralcamp,111,427,139,110,413,151,221,840,290
2019,430846,Miravet,47,234,88,36,180,106,83,414,194
2019,081385,Moià,490,2.225,475,504,1.956,617,994,4.181,1.092
2019,430859,"Molar, el",13,102,43,9,80,50,22,182,93
2019,081234,Molins de Rei,2.325,8.400,1.887,2.177,8.576,2.503,4.502,16.976,4.390
2019,251370,Mollerussa,1.386,5.262,895,1.304,4.638,1.198,2.690,9.900,2.093
2019,171061,Mollet de Peralada,15,54,27,14,48,31,29,102,58
2019,081249,Mollet del Vallès,4.132,17.269,3.821,3.956,17.232,4.908,8.088,34.501,8.729
2019,171077,Molló,18,103,41,26,97,52,44,200,93
2019,251364,"Molsosa, la",2,35,16,4,33,17,6,68,33
2019,081287,Monistrol de Calders,42,246,69,27,218,80,69,464,149
2019,081271,Monistrol de Montserrat,237,1.047,267,222,936,325,459,1.983,592
2019,171096,Montagut i Oix,63,329,83,61,294,86,124,623,169
2019,430862,Montblanc,621,2.504,612,533,2.321,773,1.154,4.825,1.385
2019,430884,Montbrió del Camp,299,988,198,270,906,229,569,1.894,427
2019,081252,Montcada i Reixac,3.112,12.478,2.311,3.002,12.171,3.165,6.114,24.649,5.476
2019,081304,Montclar,12,40,19,11,41,13,23,81,32
2019,251399,Montellà i Martinet,37,210,77,20,170,65,57,380,142
2019,081311,Montesquiu,93,315,93,70,307,120,163,622,213
2019,251403,Montferrer i Castellbò,96,349,121,83,301,91,179,650,212
2019,430897,Montferri,33,131,38,39,113,33,72,244,71
2019,251386,Montgai,29,209,91,20,161,115,49,370,206
2019,081265,Montgat,1.100,4.006,832,983,4.098,1.022,2.083,8.104,1.854
2019,081326,Montmajor,35,131,65,39,131,63,74,262,128
2019,081332,Montmaneu,9,48,26,2,45,20,11,93,46
2019,430901,"Montmell, el",112,550,146,115,456,133,227,1.006,279
2019,081350,Montmeló,648,2.896,731,625,2.901,954,1.273,5.797,1.685
2019,251425,Montoliu de Lleida,29,171,51,23,141,74,52,312,125
2019,251410,Montoliu de Segarra,14,59,27,5,47,27,19,106,54
2019,251431,Montornès de Segarra,2,25,20,8,26,19,10,51,39
2019,081363,Montornès del Vallès,1.497,5.613,1.141,1.495,5.279,1.368,2.992,10.892,2.509
2019,430918,Mont-ral,11,65,18,9,47,12,20,112,30
2019,171100,Mont-ras,113,562,171,87,561,185,200,1.123,356
2019,430923,Mont-roig del Camp,997,4.184,1.079,913,3.835,1.128,1.910,8.019,2.207
2019,081379,Montseny,26,118,35,24,95,44,50,213,79
2019,430939,Móra d'Ebre,480,1.903,462,408,1.816,621,888,3.719,1.083
2019,430944,Móra la Nova,214,1.053,274,202,994,350,416,2.047,624
2019,430957,"Morell, el",343,1.331,207,331,1.230,262,674,2.561,469
2019,430960,"Morera de Montsant, la",6,62,17,12,39,16,18,101,33
2019,081290,Muntanyola,51,227,43,65,205,43,116,432,86
2019,081398,Mura,21,73,28,19,61,22,40,134,50
2019,251459,Nalec,3,22,20,2,25,15,5,47,35
2019,250254,Naut Aran,133,668,134,119,627,122,252,1.295,256
2019,081402,Navarcles,405,1.946,563,422,1.915,726,827,3.861,1.289
2019,081419,Navàs,459,1.988,551,451,1.876,695,910,3.864,1.246
2019,171117,Navata,126,424,121,112,470,128,238,894,249
2019,251462,Navès,22,100,25,17,84,32,39,184,57
2019,081424,"Nou de Berguedà, la",6,49,28,11,45,22,17,94,50
2019,430976,"Nou de Gaià, la",73,180,47,62,184,57,135,364,104
2019,430982,Nulles,56,167,44,38,129,58,94,296,102
2019,251484,Odèn,9,93,47,5,64,31,14,157,78
2019,081430,Òdena,348,1.233,267,320,1.135,340,668,2.368,607
2019,171122,Ogassa,16,87,27,16,65,23,32,152,50
2019,081458,Olèrdola,316,1.280,304,301,1.191,300,617,2.471,604
2019,081461,Olesa de Bonesvalls,163,653,133,143,569,149,306,1.222,282
2019,081477,Olesa de Montserrat,2.215,8.014,1.684,2.089,7.756,2.146,4.304,15.770,3.830
2019,251497,Oliana,92,564,250,107,536,261,199,1.100,511
2019,251500,Oliola,4,76,26,10,54,27,14,130,53
2019,251517,Olius,114,323,90,85,293,81,199,616,171
2019,081483,Olivella,361,1.370,254,385,1.196,233,746,2.566,487
2019,081496,Olost,67,379,142,73,381,156,140,760,298
2019,171143,Olot,2.687,12.028,2.854,2.568,11.098,3.993,5.255,23.126,6.847
2019,251522,"Oluges, les",10,50,28,5,43,31,15,93,59
2019,081445,Olvan,50,285,81,47,266,125,97,551,206
2019,251538,"Omellons, els",5,64,42,9,55,36,14,119,78
2019,251543,"Omells de na Gaia, els",4,48,20,4,36,19,8,84,39
2019,171156,Ordis,32,121,46,26,110,36,58,231,82
2019,251556,Organyà,51,240,97,44,218,134,95,458,231
2019,081509,Orís,19,114,26,26,106,24,45,220,50
2019,081516,Oristà,40,158,76,27,159,81,67,317,157
2019,081521,Orpí,13,55,12,12,43,12,25,98,24
2019,081537,Òrrius,70,257,54,63,239,56,133,496,110
2019,251569,Os de Balaguer,69,327,111,81,296,110,150,623,221
2019,171169,Osor,28,155,44,20,131,50,48,286,94
2019,251575,Ossó de Sió,15,59,24,15,62,29,30,121,53
2019,081542,Pacs del Penedès,74,315,80,76,295,82,150,610,162
2019,081555,Palafolls,881,3.233,576,820,3.187,708,1.701,6.420,1.284
2019,171175,Palafrugell,1.998,7.568,1.811,1.867,7.394,2.336,3.865,14.962,4.147
2019,171181,Palamós,1.280,5.943,1.543,1.172,5.921,2.051,2.452,11.864,3.594
2019,251581,"Palau d'Anglesola, el",176,717,168,181,678,246,357,1.395,414
2019,171194,Palau de Santa Eulàlia,7,32,13,5,23,11,12,55,24
2019,171215,Palau-sator,24,105,37,22,87,35,46,192,72
2019,171208,Palau-saverdera,140,448,153,123,443,169,263,891,322
2019,081568,Palau-solità i Plegamans,1.170,4.976,1.100,1.215,4.999,1.311,2.385,9.975,2.411
2019,431009,"Pallaresos, els",503,1.664,237,479,1.598,296,982,3.262,533
2019,081574,Pallejà,1.074,3.875,779,954,3.817,1.009,2.028,7.692,1.788
2019,430995,"Palma d'Ebre, la",10,97,59,14,88,72,24,185,131
2019,089058,"Palma de Cervelló, la",220,1.022,218,219,1.018,257,439,2.040,475
2019,171236,Palol de Revardit,36,145,47,40,135,52,76,280,99
2019,171241,Pals,167,779,276,160,737,292,327,1.516,568
2019,081580,"Papiol, el",359,1.401,292,352,1.365,376,711,2.766,668
2019,171254,Pardines,12,57,20,10,41,22,22,98,42
2019,081593,Parets del Vallès,1.699,6.541,1.301,1.575,6.334,1.632,3.274,12.875,2.933
2019,171267,Parlavà,28,126,45,27,115,53,55,241,98
2019,171390,"Preses, les",154,591,145,151,559,188,305,1.150,333
2019,431016,Passanant i Belltall,4,63,28,3,36,29,7,99,57
2019,171289,Pau,39,175,71,32,166,77,71,341,148
2019,431021,Paüls,35,146,96,30,154,95,65,300,191
2019,171292,Pedret i Marzà,20,65,16,17,61,19,37,126,35
2019,251641,Penelles,29,168,65,25,106,59,54,274,124
2019,171306,"Pera, la",39,148,34,30,130,65,69,278,99
2019,081607,Perafita,25,123,54,22,117,54,47,240,108
2019,431037,Perafort,142,439,73,115,411,81,257,850,154
2019,171328,Peralada,124,623,159,137,596,211,261,1.219,370
2019,251654,Peramola,15,115,47,15,101,54,30,216,101
2019,431042,"Perelló, el",193,858,370,201,771,377,394,1.629,747
2019,081614,Piera,1.322,5.463,1.191,1.234,4.932,1.461,2.556,10.395,2.652
2019,431055,"Piles, les",22,69,29,20,58,14,42,127,43
2019,081635,Pineda de Mar,1.983,9.069,2.536,1.940,8.605,3.139,3.923,17.674,5.675
2019,431068,"Pinell de Brai, el",55,331,130,51,270,180,106,601,310
2019,251667,Pinell de Solsonès,12,77,29,6,47,29,18,124,58
2019,251673,Pinós,18,99,34,24,79,33,42,178,67
2019,431074,Pira,39,173,49,34,146,52,73,319,101
2019,431080,"Pla de Santa Maria, el",179,827,209,157,713,242,336,1.540,451
2019,081640,"Pla del Penedès, el",107,426,103,118,390,112,225,816,215
2019,171334,"Planes d'Hostoles, les",127,515,209,101,475,256,228,990,465
2019,171349,Planoles,18,104,35,15,78,38,33,182,73
2019,259118,"Plans de Sió, els",23,180,69,28,132,74,51,312,143
2019,251689,"Poal, el",47,218,75,32,191,85,79,409,160
2019,251692,"Pobla de Cérvoles, la",9,74,24,3,45,36,12,119,60
2019,081653,"Pobla de Claramunt, la",195,714,195,199,658,232,394,1.372,427
2019,081666,"Pobla de Lillet, la",43,323,162,39,304,224,82,627,386
2019,431093,"Pobla de Mafumet, la",432,1.416,134,386,1.358,178,818,2.774,312
2019,431107,"Pobla de Massaluca, la",19,101,61,10,76,51,29,177,112
2019,431114,"Pobla de Montornès, la",250,948,288,211,857,285,461,1.805,573
2019,251713,"Pobla de Segur, la",208,925,336,195,870,450,403,1.795,786
2019,431129,Poboleda,15,107,44,21,81,45,36,188,89
2019,081672,Polinyà,892,2.985,418,877,2.829,478,1.769,5.814,896
2019,431135,"Pont d'Armentera, el",24,163,71,27,140,80,51,303,151
2019,250306,"Pont de Bar, el",15,53,19,2,43,25,17,96,44
2019,171352,Pont de Molins,35,174,58,38,173,51,73,347,109
2019,251734,"Pont de Suert, el",165,747,195,149,699,265,314,1.446,460
2019,081825,"Pont de Vilomara i Rocafort, el",349,1.307,313,293,1.199,369,642,2.506,682
2019,431418,Pontils,3,38,25,4,33,14,7,71,39
2019,081688,Pontons,39,194,56,26,166,51,65,360,107
2019,171365,Pontós,26,87,28,17,81,27,43,168,55
2019,251728,Ponts,190,861,254,173,796,327,363,1.657,581
2019,171371,Porqueres,385,1.525,378,395,1.487,451,780,3.012,829
2019,431140,Porrera,17,169,43,23,125,62,40,294,105
2019,171404,"Port de la Selva, el",62,308,131,50,281,138,112,589,269
2019,171387,Portbou,36,323,169,48,291,208,84,614,377
2019,251749,"Portella, la",46,291,75,35,218,63,81,509,138
2019,431153,Pradell de la Teixeta,4,45,21,11,51,20,15,96,41
2019,431166,Prades,41,196,72,30,170,80,71,366,152
2019,431172,Prat de Comte,12,64,22,7,45,33,19,109,55
2019,081691,"Prat de Llobregat, el",5.118,21.184,5.319,4.919,21.077,6.982,10.037,42.261,12.301
2019,431188,Pratdip,39,231,125,38,184,121,77,415,246
2019,081712,Prats de Lluçanès,158,861,261,159,814,316,317,1.675,577
2019,081705,"Prats de Rei, els",42,192,49,30,145,74,72,337,123
2019,251752,Prats i Sansor,9,83,22,14,66,25,23,149,47
2019,251765,Preixana,24,114,61,27,95,64,51,209,125
2019,251771,Preixens,26,121,71,27,111,76,53,232,147
2019,082303,Premià de Dalt,902,3.408,897,822,3.432,987,1.724,6.840,1.884
2019,081727,Premià de Mar,2.165,9.217,2.322,2.055,9.103,3.257,4.220,18.320,5.579
2019,251790,Prullans,17,66,26,18,77,27,35,143,53
2019,171411,Puigcerdà,706,3.266,613,697,3.152,824,1.403,6.418,1.437
2019,081748,Puigdàlber,40,175,41,61,161,48,101,336,89
2019,251804,Puiggròs,18,93,27,14,80,44,32,173,71
2019,431191,Puigpelat,111,424,55,102,390,67,213,814,122
2019,081751,Puig-reig,250,1.358,478,245,1.230,617,495,2.588,1.095
2019,251811,Puigverd d'Agramunt,17,96,33,12,69,28,29,165,61
2019,251826,Puigverd de Lleida,101,477,123,98,404,152,199,881,275
2019,081764,Pujalt,23,69,27,13,56,22,36,125,49
2019,081770,"Quar, la",6,10,13,3,15,6,9,25,19
2019,171426,Quart,418,1.200,237,406,1.191,272,824,2.391,509
2019,170433,Queralbs,8,71,25,6,56,25,14,127,50
2019,431205,Querol,28,184,73,23,146,53,51,330,126
2019,171432,Rabós,9,54,26,9,51,29,18,105,55
2019,081786,Rajadell,31,184,60,43,173,57,74,357,117
2019,431212,Rasquera,43,224,117,43,222,132,86,446,249
2019,171447,Regencós,15,93,33,16,78,34,31,171,67
2019,081799,Rellinars,52,284,67,73,245,59,125,529,126
2019,431227,Renau,22,55,5,13,54,8,35,109,13
2019,431233,Reus,9.105,33.384,7.926,8.634,34.625,10.699,17.739,68.009,18.625
2019,251832,Rialp,39,244,47,35,229,67,74,473,114
2019,431248,"Riba, la",36,207,78,28,148,88,64,355,166
2019,431251,Riba-roja d'Ebre,57,384,152,57,294,182,114,678,334
2019,259059,Ribera d'Ondara,21,133,59,23,125,65,44,258,124
2019,251850,Ribera d'Urgellet,78,328,82,69,277,101,147,605,183
2019,171450,Ribes de Freser,99,563,220,72,511,289,171,1.074,509
2019,171463,Riells i Viabrea,329,1.487,297,292,1.411,308,621,2.898,605
2019,431264,"Riera de Gaià, la",179,575,113,184,544,149,363,1.119,262
2019,251863,Riner,21,82,29,20,71,40,41,153,69
2019,171479,Ripoll,770,3.429,1.074,704,3.293,1.416,1.474,6.722,2.490
2019,081803,Ripollet,3.534,13.050,2.496,3.369,12.869,3.347,6.903,25.919,5.843
2019,259139,Riu de Cerdanya,2,40,13,3,28,7,5,68,20
2019,171485,Riudarenes,184,747,194,175,674,208,359,1.421,402
2019,171498,Riudaura,37,153,42,50,151,45,87,304,87
2019,431270,Riudecanyes,100,391,99,79,343,112,179,734,211
2019,431286,Riudecols,73,432,106,79,365,125,152,797,231
2019,171501,Riudellots de la Selva,179,719,155,162,681,180,341,1.400,335
2019,431299,Riudoms,606,2.191,583,522,2.006,686,1.128,4.197,1.269
2019,171518,Riumors,19,81,26,17,81,34,36,162,60
2019,081810,"Roca del Vallès, la",941,3.652,726,925,3.510,896,1.866,7.162,1.622
2019,431303,Rocafort de Queralt,13,72,37,14,50,39,27,122,76
2019,431310,Roda de Berà,504,2.167,670,495,1.991,740,999,4.158,1.410
2019,081831,Roda de Ter,525,2.117,476,508,2.030,645,1.033,4.147,1.121
2019,431325,Rodonyà,37,185,40,24,147,57,61,332,97
2019,431331,Roquetes,660,2.811,655,599,2.483,765,1.259,5.294,1.420
2019,171523,Roses,1.610,6.619,1.633,1.540,6.235,1.913,3.150,12.854,3.546
2019,251898,Rosselló,257,1.141,204,274,990,279,531,2.131,483
2019,431346,"Rourell, el",29,133,29,23,117,35,52,250,64
2019,081846,Rubí,6.727,26.357,5.274,6.380,25.991,6.735,13.107,52.348,12.009
2019,081859,Rubió,18,82,33,12,69,25,30,151,58
2019,171539,Rupià,18,82,38,27,75,32,45,157,70
2019,089019,Rupit i Pruit,15,84,40,14,78,48,29,162,88
2019,081878,Sabadell,17.618,69.554,16.675,16.609,69.950,23.238,34.227,139.504,39.913
2019,081884,Sagàs,19,48,13,9,46,13,28,94,26
2019,251902,Salàs de Pallars,19,103,52,16,88,42,35,191,94
2019,081901,Saldes,5,104,50,6,71,38,11,175,88
2019,171544,Sales de Llierca,9,57,11,17,52,8,26,109,19
2019,081918,Sallent,452,2.022,737,455,2.031,961,907,4.053,1.698
2019,431359,Salomó,44,196,55,51,151,60,95,347,115
2019,439057,Salou,2.280,10.214,1.647,2.020,9.416,1.899,4.300,19.630,3.546
2019,171557,Salt,3.400,11.391,1.663,3.077,9.611,2.220,6.477,21.002,3.883
2019,251919,Sanaüja,18,125,59,17,96,65,35,221,124
2019,081944,Sant Adrià de Besòs,3.173,12.451,2.627,2.906,12.162,3.778,6.079,24.613,6.405
2019,081957,Sant Agustí de Lluçanès,2,29,11,7,25,11,9,54,22
2019,081960,Sant Andreu de la Barca,2.604,9.342,1.733,2.497,9.020,2.362,5.101,18.362,4.095
2019,081976,Sant Andreu de Llavaneres,906,3.662,856,823,3.690,1.031,1.729,7.352,1.887
2019,171576,Sant Andreu Salou,14,50,15,10,46,20,24,96,35
2019,171833,Sant Aniol de Finestres,26,112,39,25,103,36,51,215,75
2019,081982,Sant Antoni de Vilamajor,531,2.068,432,501,2.088,515,1.032,4.156,947
2019,081995,Sant Bartomeu del Grau,75,300,85,54,252,92,129,552,177
2019,082009,Sant Boi de Llobregat,6.652,27.453,6.772,6.241,27.286,9.201,12.893,54.739,15.973
2019,082016,Sant Boi de Lluçanès,19,166,84,34,136,102,53,302,186
2019,431362,Sant Carles de la Ràpita,1.006,4.752,1.480,981,4.763,1.807,1.987,9.515,3.287
2019,082037,Sant Cebrià de Vallalta,305,1.200,259,309,1.062,250,614,2.262,509
2019,082021,Sant Celoni,1.566,6.028,1.345,1.465,5.734,1.766,3.031,11.762,3.111
2019,082042,Sant Climent de Llobregat,421,1.385,269,386,1.389,279,807,2.774,548
2019,171582,Sant Climent Sescebes,39,272,53,45,150,67,84,422,120
2019,082055,Sant Cugat del Vallès,9.060,29.560,5.577,8.443,31.221,7.145,17.503,60.781,12.722
2019,082068,Sant Cugat Sesgarrigues,81,325,82,100,313,106,181,638,188
2019,251961,Sant Esteve de la Sarga,3,42,27,4,31,17,7,73,44
2019,082074,Sant Esteve de Palautordera,271,937,183,257,975,197,528,1.912,380
2019,082080,Sant Esteve Sesrovires,642,2.642,551,597,2.520,660,1.239,5.162,1.211
2019,171595,Sant Feliu de Buixalleu,45,277,88,60,235,78,105,512,166
2019,082107,Sant Feliu de Codines,525,2.224,419,466,2.040,585,991,4.264,1.004
2019,171609,Sant Feliu de Guíxols,1.732,7.130,1.940,1.657,6.999,2.467,3.389,14.129,4.407
2019,082114,Sant Feliu de Llobregat,3.608,14.465,3.694,3.454,14.816,4.823,7.062,29.281,8.517
2019,171616,Sant Feliu de Pallerols,115,421,131,98,435,171,213,856,302
2019,082129,Sant Feliu Sasserra,43,195,74,40,168,82,83,363,156
2019,171621,Sant Ferriol,24,76,24,26,71,22,50,147,46
2019,082093,Sant Fost de Campsentelles,671,2.867,814,600,2.802,983,1.271,5.669,1.797
2019,082135,Sant Fruitós de Bages,749,2.922,624,747,2.898,763,1.496,5.820,1.387
2019,171637,Sant Gregori,407,1.253,299,331,1.216,311,738,2.469,610
2019,251924,Sant Guim de Freixenet,74,351,113,79,274,134,153,625,247
2019,251977,Sant Guim de la Plana,12,66,28,6,46,27,18,112,55
2019,171642,Sant Hilari Sacalm,411,1.881,551,437,1.699,648,848,3.580,1.199
2019,082153,Sant Hipòlit de Voltregà,286,1.177,266,248,1.108,399,534,2.285,665
2019,081939,Sant Iscle de Vallalta,128,467,92,118,421,106,246,888,198
2019,439023,Sant Jaume d'Enveja,223,1.149,393,248,1.042,448,471,2.191,841
2019,082166,Sant Jaume de Frontanyà,1,9,8,2,7,3,3,16,11
2019,171655,Sant Jaume de Llierca,69,257,90,60,274,115,129,531,205
2019,431378,Sant Jaume dels Domenys,265,874,203,238,811,231,503,1.685,434
2019,171674,Sant Joan de les Abadesses,203,998,403,190,913,525,393,1.911,928
2019,171680,Sant Joan de Mollet,35,166,47,48,156,55,83,322,102
2019,082188,Sant Joan de Vilatorrada,926,3.628,936,854,3.423,1.169,1.780,7.051,2.105
2019,082172,Sant Joan Despí,2.891,11.134,2.560,2.725,11.492,3.321,5.616,22.626,5.881
2019,171851,Sant Joan les Fonts,235,981,325,189,890,386,424,1.871,711
2019,171668,Sant Jordi Desvalls,64,240,76,62,234,85,126,474,161
2019,089030,Sant Julià de Cerdanyola,15,84,26,10,65,28,25,149,54
2019,171693,Sant Julià de Ramis,345,1.202,233,323,1.179,233,668,2.381,466
2019,082205,Sant Julià de Vilatorta,257,1.042,240,254,1.025,296,511,2.067,536
2019,179032,Sant Julià del Llor i Bonmatí,117,439,95,113,422,100,230,861,195
2019,082212,Sant Just Desvern,1.582,5.505,1.457,1.499,5.801,1.961,3.081,11.306,3.418
2019,082227,Sant Llorenç d'Hortons,201,837,188,194,795,198,395,1.632,386
2019,171714,Sant Llorenç de la Muga,18,92,25,16,79,34,34,171,59
2019,251930,Sant Llorenç de Morunys,56,279,122,59,283,150,115,562,272
2019,082233,Sant Llorenç Savall,165,788,244,170,719,287,335,1.507,531
2019,082251,Sant Martí d'Albars,7,33,16,10,30,16,17,63,32
2019,082248,Sant Martí de Centelles,80,446,74,85,375,107,165,821,181
2019,171729,Sant Martí de Llémena,51,231,48,52,214,37,103,445,85
2019,259025,Sant Martí de Riucorb,32,198,104,40,156,116,72,354,220
2019,082264,Sant Martí de Tous,124,406,107,119,356,123,243,762,230
2019,082270,Sant Martí Sarroca,258,1.072,278,283,1.048,325,541,2.120,603
2019,082286,Sant Martí Sesgueioles,22,125,29,16,111,40,38,236,69
2019,171735,Sant Martí Vell,15,93,23,16,76,29,31,169,52
2019,082299,Sant Mateu de Bages,33,187,82,26,162,113,59,349,195
2019,171740,Sant Miquel de Campmajor,24,81,22,20,63,21,44,144,43
2019,171753,Sant Miquel de Fluvià,59,262,76,53,242,72,112,504,148
2019,171766,Sant Mori,11,61,18,12,55,20,23,116,38
2019,171772,Sant Pau de Segúries,49,208,90,41,213,96,90,421,186
2019,082310,Sant Pere de Ribes,2.591,10.594,2.083,2.547,10.373,2.531,5.138,20.967,4.614
2019,082325,Sant Pere de Riudebitlles,225,728,228,193,706,288,418,1.434,516
2019,082331,Sant Pere de Torelló,206,809,227,154,732,291,360,1.541,518
2019,082346,Sant Pere de Vilamajor,370,1.565,304,390,1.479,364,760,3.044,668
2019,171788,Sant Pere Pescador,164,772,148,178,590,190,342,1.362,338
2019,081897,Sant Pere Sallavinera,16,47,19,9,36,25,25,83,44
2019,082359,Sant Pol de Mar,421,1.668,515,399,1.686,610,820,3.354,1.125
2019,082362,Sant Quintí de Mediona,197,770,187,177,696,227,374,1.466,414
2019,082378,Sant Quirze de Besora,140,664,250,152,654,307,292,1.318,557
2019,082384,Sant Quirze del Vallès,1.903,6.663,1.299,1.858,6.894,1.524,3.761,13.557,2.823
2019,082397,Sant Quirze Safaja,53,242,41,61,193,37,114,435,78
2019,251945,Sant Ramon,20,154,80,34,124,79,54,278,159
2019,082401,Sant Sadurní d'Anoia,1.163,4.220,965,1.062,4.276,1.201,2.225,8.496,2.166
2019,082418,Sant Sadurní d'Osormort,3,35,9,2,21,8,5,56,17
2019,080983,Sant Salvador de Guardiola,267,1.098,265,251,989,309,518,2.087,574
2019,082628,Sant Vicenç de Castellet,825,3.177,758,704,3.006,1.053,1.529,6.183,1.811
2019,082649,Sant Vicenç de Montalt,561,2.091,547,504,2.128,576,1.065,4.219,1.123
