Municipi;Comarca;Codi;Altitud(m);Superfície(km2);Població;
Martorell;Baix Llobregat;081141 ;56;12.76;28772;
Martorelles;Vallès Oriental;081154 ;96;3.61;4820;
Mas de Barberans;Montsià;430770;348;78.8;564;
Masarac;Alt Empordà;171002;85;12.55;288;
Masdenverge;Montsià;430786;54;14.61;1071;
Masies de Roda. les;Osona;081167 ;468;16.41;719;
Masies de Voltregà. les;Osona;081173 ;533;22.35;3132;
Masllorenç;Baix Penedès;430799;304;6.55;505;
Masnou. el;Maresme;081189 ;27;3.39;23831;
Masó. la;Alt Camp;430803;115;3.57;280;
Maspujols;Baix Camp;430810;214;3.66;823;
Masquefa;Anoia;081192 ;257;17.06;9402;
Masroig. el;Priorat;430825;192;15.51;492;
Massalcoreig;Segrià;251312;94;14.14;610;
Massanes;Selva;171019;164;26.07;796;
Massoteres;Segarra;251327;502;26.11;212;
Matadepera;Vallès Occidental;081206 ;423;25.36;9496;
Mataró;Maresme;081213 ;28;22.53;129661;
Mediona;Alt Penedès;081228 ;430;47.55;2369;
Menàrguens;Noguera;251348;205;20.25;813;
Meranges;Cerdanya;170998;1 539;37.34;100;
Mieres;Garrotxa;171058;286;26.29;345;
Milà. el;Alt Camp;430831;166;4.13;190;
Miralcamp;Pla d'Urgell;251351;287;14.87;1385;
Miravet;Ribera d'Ebre;430846;43;32.33;706;
Moià;Moianès;081385 ;717;75.31;6383;
Molar. el;Priorat;430859;228;22.81;291;
Molins de Rei;Baix Llobregat;081234 ;37;15.94;25940;
Mollerussa;Pla d'Urgell;251370;250;7.08;14649;
Mollet de Peralada;Alt Empordà;171061;59;6.04;198;
Mollet del Vallès;Vallès Oriental;081249 ;65;10.77;51600;
Molló;Ripollès;171077;1 182;43.09;336;
Molsosa. la;Solsonès;251364;667;26.89;104;
Monistrol de Calders;Moianès;081287 ;447;21.97;702;
Monistrol de Montserrat;Bages;081271 ;161;11.77;3139;
Montagut i Oix;Garrotxa;171096;276;93.7;930;
Montblanc;Conca de Barberà;430862;350;91.07;7379;
Montbrió del Camp;Baix Camp;430884;132;10.7;2909;
Montcada i Reixac;Vallès Occidental;081252 ;36;23.47;36803;
Montclar;Berguedà;081304 ;728;21.89;139;
Montellà i Martinet;Cerdanya;251399;967;54.95;578;
Montesquiu;Osona;081311 ;577;4.94;1030;
Montferrer i Castellbò;Alt Urgell;251403;732;176.66;1034;
Montferri;Alt Camp;430897;229;19.15;403;
Montgai;Noguera;251386;286;28.94;643;
Montgat;Maresme;081265 ;20;2.91;12200;
Montmajor;Berguedà;081326 ;756;76.49;469;
Montmaneu;Anoia;081332 ;709;13.62;151;
Montmell. el;Baix Penedès;430901;429;72.8;1582;
Montmeló;Vallès Oriental;081350 ;72;4;8831;
Montoliu de Lleida;Segrià;251425;166;7.34;483;
Montoliu de Segarra;Segarra;251410;689;29.47;187;
Montornès de Segarra;Segarra;251431;605;12.32;96;
Montornès del Vallès;Vallès Oriental;081363 ;116;10.23;16644;
Mont-ral;Alt Camp;430918;888;34.72;168;
Mont-ras;Baix Empordà;171100;88;12.31;1680;
Mont-roig del Camp;Baix Camp;430923;120;63.32;12460;
Montseny;Vallès Oriental;081379 ;528;26.77;351;
Móra d'Ebre;Ribera d'Ebre;430939;38;45.12;5695;
Móra la Nova;Ribera d'Ebre;430944;31;15.93;3108;
Morell. el;Tarragonès;430957;104;5.94;3742;
Morera de Montsant. la;Priorat;430960;743;52.88;159;
Muntanyola;Osona;081290 ;807;40.3;632;
Mura;Bages;081398 ;454;47.79;220;
Nalec;Urgell;251459;487;9.25;90;
Naut Aran;Val d'Aran;250254;1 267;255.75;1836;
Navarcles;Bages;081402 ;269;5.52;6057;
Navàs;Bages;081419 ;370;80.62;6018;
Navata;Alt Empordà;171117;145;18.48;1427;
Navès;Solsonès;251462;610;145.27;284;
Nou de Berguedà. la;Berguedà;081424 ;876;25.01;162;
Nou de Gaià. la;Tarragonès;430976;93;4.32;600;
Nulles;Alt Camp;430982;231;10.61;509;
Odèn;Solsonès;251484;1 130;114.38;258;
Òdena;Anoia;081430 ;421;52.66;3668;
Ogassa;Ripollès;171122;951;45.22;240;
Olèrdola;Alt Penedès;081458 ;189;30.15;3768;
Olesa de Bonesvalls;Alt Penedès;081461 ;265;30.79;1840;
Olesa de Montserrat;Baix Llobregat;081477 ;124;16.63;24144;
Oliana;Alt Urgell;251497;469;32.37;1843;
Oliola;Noguera;251500;452;86.28;203;
Olius;Solsonès;251517;742;54.84;981;
Olivella;Garraf;081483 ;211;38.75;3935;
Olost;Osona;081496 ;572;29.37;1202;
Olot;Garrotxa;171143;443;29.03;35926;
Oluges. les;Segarra;251522;528;18.95;171;
Olvan;Berguedà;081445 ;553;35.58;858;
Omellons. els;Garrigues;251538;385;11.06;206;
Omells de na Gaia. els;Urgell;251543;560;13.48;130;
Ordis;Alt Empordà;171156;98;8.55;361;
Organyà;Alt Urgell;251556;558;12.53;771;
Orís;Osona;081509 ;576;27.17;322;
Oristà;Osona;081516 ;468;68.49;549;
Orpí;Anoia;081521 ;375;15.23;151;
Òrrius;Maresme;081537 ;259;5.66;758;
Os de Balaguer;Noguera;251569;463;135.96;980;
Osor;Selva;171169;340;52.07;428;
Ossó de Sió;Urgell;251575;391;26.29;203;
Pacs del Penedès;Alt Penedès;081542 ;201;6.27;918;
Palafolls;Maresme;081555 ;16;16.56;9613;
Palafrugell;Baix Empordà;171175;64;26.88;23244;
Palamós;Baix Empordà;171181;12;13.98;18135;
Palau d'Anglesola. el;Pla d'Urgell;251581;250;12.27;2166;
Palau de Santa Eulàlia;Alt Empordà;171194;86;8.44;90;
Palau-sator;Baix Empordà;171215;20;12.39;310;
Palau-saverdera;Alt Empordà;171208;78;16.45;1456;
Palau-solità i Plegamans;Vallès Occidental;081568 ;130;14.93;14892;
Pallaresos. els;Tarragonès;431009;120;5.13;4850;
Pallejà;Baix Llobregat;081574 ;41;8.3;11622;
Palma d'Ebre. la;Ribera d'Ebre;430995;335;37.92;338;
Palma de Cervelló. la;Baix Llobregat;089058 ;100;5.46;2992;
Palol de Revardit;Pla de l'Estany;171236;152;17.98;448;
Pals;Baix Empordà;171241;55;25.83;2395;
Papiol. el;Baix Llobregat;081580 ;135;8.95;4172;
Pardines;Ripollès;171254;1 226;31.05;169;
Parets del Vallès;Vallès Oriental;081593 ;98;9.12;19071;
Parlavà;Baix Empordà;171267;40;6.18;391;
Passanant i Belltall;Conca de Barberà;431016;714;27.35;155;
Pau;Alt Empordà;171289;33;10.7;557;
Paüls;Baix Ebre;431021;378;43.83;545;
Pedret i Marzà;Alt Empordà;171292;22;8.65;191;
Penelles;Noguera;251641;276;25.51;436;
Pera. la;Baix Empordà;171306;93;11.54;435;
Perafita;Osona;081607 ;754;19.59;405;
Perafort;Tarragonès;431037;125;9.54;1264;
Peralada;Alt Empordà;171328;32;43.61;1898;
Peramola;Alt Urgell;251654;566;56.17;347;
Perelló. el;Baix Ebre;431042;142;100.67;2826;
Piera;Anoia;081614 ;324;57.2;16134;
Piles. les;Conca de Barberà;431055;676;22.39;210;
Pineda de Mar;Maresme;081635 ;10;10.74;27984;
Pinell de Brai. el;Terra Alta;431068;189;56.99;1008;
Pinell de Solsonès;Solsonès;251667;800;91.11;193;
Pinós;Solsonès;251673;823;104.32;286;
Pira;Conca de Barberà;431074;385;8.01;503;
Pla de Santa Maria. el;Alt Camp;431080;381;34.99;2348;
Pla del Penedès. el;Alt Penedès;081640 ;216;9.57;1275;
Planes d'Hostoles. les;Garrotxa;171334;370;37.5;1712;
Planoles;Ripollès;171349;1 136;18.75;304;
Plans de Sió. els;Segarra;259118;412;55.89;491;
Poal. el;Pla d'Urgell;251689;216;8.88;670;
Pobla de Cérvoles. la;Garrigues;251692;663;61.92;189;
Pobla de Claramunt. la;Anoia;081653 ;265;18.54;2185;
Pobla de Lillet. la;Berguedà;081666 ;843;51.45;1093;
Pobla de Mafumet. la;Tarragonès;431093;98;6.21;3971;
Pobla de Massaluca. la;Terra Alta;431107;357;43.4;317;
Pobla de Montornès. la;Tarragonès;431114;56;12.29;2884;
Pobla de Segur. la;Pallars Jussà;251713;524;32.83;3043;
Poboleda;Priorat;431129;343;13.95;321;
Polinyà;Vallès Occidental;081672 ;123;8.79;8504;
Pont d'Armentera. el;Alt Camp;431135;349;21.67;488;
Pont de Bar. el;Alt Urgell;250306;861;42.62;152;
Pont de Molins;Alt Empordà;171352;43;8.66;516;
Pont de Suert. el;Alta Ribagorça;251734;838;148.14;2257;
Pont de Vilomara i Rocafort. el;Bages;081825 ;202;27.41;3907;
Pontils;Conca de Barberà;431418;551;67.56;122;
Pontons;Alt Penedès;081688 ;584;25.94;528;
Pontós;Alt Empordà;171365;94;13.66;260;
Ponts;Noguera;251728;363;30.52;2644;
Porqueres;Pla de l'Estany;171371;148;33.52;4677;
Porrera;Priorat;431140;316;28.83;424;
Port de la Selva. el;Alt Empordà;171404;12;41.62;958;
Portbou;Alt Empordà;171387;28;9.22;1063;
Portella. la;Segrià;251749;259;12.31;743;
Pradell de la Teixeta;Priorat;431153;463;21.83;158;
Prades;Baix Camp;431166;950;32.58;588;
Prat de Comte;Terra Alta;431172;363;26.43;177;
Prat de Llobregat. el;Baix Llobregat;081691 ;8;31.41;65385;
Pratdip;Baix Camp;431188;245;36.27;726;
Prats de Lluçanès;Osona;081712 ;707;13.78;2604;
Prats de Rei. els;Anoia;081705 ;608;26.06;537;
Prats i Sansor;Cerdanya;251752;1 124;6.57;222;
Preixana;Urgell;251765;328;21.52;387;
Preixens;Noguera;251771;315;28.67;418;
