Comarca;Població;Superfície km2;Densitat (habitants/km2)
Alt Camp;44695;538;83.1
Alt Empordà;142624;1357.54;105.1
Alt Penedès;109606;592.69;184.9
Alt Urgell;20231;1447.46;14
Alta Ribagorça;3825;426.86;9
Anoia;123024;866.31;142
Aran;10175;633.6;16.1
Bages;180575;1092.3;165.3
Baix Camp;194127;697.15;278.5
Baix Ebre;78011;1002.67;77.8
Baix Empordà;135805;701.69;193.5
Baix Llobregat;834653;485.99;1717.4
Baix Penedès;107803;296.45;363.7
Barcelonès;2314620;145.75;15880.8
Berguedà;39980;1185.25;33.7
Cerdanya;18525;546.69;33.9
Conca de Barberà;19947;650.17;30.7
Garraf;152801;185.11;825.5
Garrigues;18873;797.7;23.7
Garrotxa;58620;734.62;79.8
Gironès;197104;575.6;342.4
Maresme;458626;398.53;1150.8
Moianès;13919;337.9;41.2
Montsià;68263;735.42;92.8
Noguera;39132;1784.07;21.9
Osona;163702;1245.2;131.5
Pallars Jussà;13227;1343.09;9.9
Pallars Sobirà;6930;1377.92;5
Pla d'Urgell;36737;305.14;120.4
Pla de l'Estany;32637;262.78;124.2
Priorat;9160;498.61;18.4
Ribera d'Ebre;21870;827.32;26.4
Ripollès;25253;956.62;26.4
Segarra;23318;722.72;32.3
Segrià;211840;1396.66;151.7
Selva;174638;995.04;175.5
Solsonès;13513;1001.24;13.5
Tarragonès;261466;319.37;818.7
Terra Alta;11430;743.04;15.4
Urgell;37116;579.66;64
Vallès Occidental;937508;583.13;1607.7
Vallès Oriental;414570;735;564
Catalunya;7780479;32108;242.3
Metropolità;4963975;2464.38;2014.3
Comarques Gironines;766681;5583.89;137.3
Camp de Tarragona;529395;2703.3;195.8
Terres de l'Ebre;179574;3308.45;54.3
Ponent;367016;5585.95;65.7
Comarques Centrals;413112;4940.69;83.6
Alt Pirineu i Aran;72913;5775.62;12.6
Penedès;487813;1745.7;279.4
Barcelona;5743402;7726.36;743.4
Girona;781788;5905;132.4
Lleida;438517;12168.42;36
Tarragona;816772;6308.2;129.5
;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/pub/?id=aec&n=249&t=2020;;;
